food_code,food_name,meal_type,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC024,Egg sandwich (Ande ka sandwich),egg,asc_manual,1198.25,285.96,29.16,8.69,15.80,1.86,1.88,8437.21,4047.35,733.87,121.63,110.13,107.32,18.88,461.67,129.59,1.44,0.11,14.16,0.00,0.34,0.02,0.77,190.34,0.70,0.13,0.21,1.94,3.60,29.40,0.15,0.10,0.98,0.37,0.08,4.54,29.40,0.00,134.03,triangle,608.11,145.12,14.80,4.41,8.02,0.95,0.95,4281.88,2054.03,372.44,61.72,55.89,54.46,9.58,234.30,65.76,0.73,0.06,7.19,0.00,0.17,0.01,0.39,96.60,0.35,0.06,0.10,0.98,1.83,14.92,0.07,0.05,0.50,0.19,0.04,2.30,14.92,0.00,68.02
ASC025,Cucumber sandwich (Kheere ka sandwich),veg,asc_manual,792.81,188.60,25.77,4.80,8.00,1.64,2.45,4322.51,1808.72,287.53,17.53,87.84,62.30,21.60,362.64,154.06,1.02,0.09,3.58,0.00,0.31,0.02,0.46,78.85,0.21,0.62,0.00,4.69,0.00,21.34,0.12,0.04,0.94,0.19,0.06,1.19,21.34,2.51,129.54,triangle,481.64,114.57,15.65,2.92,4.86,1.00,1.49,2625.93,1098.80,174.67,10.65,53.36,37.85,13.13,220.31,93.59,0.62,0.06,2.17,0.00,0.19,0.01,0.28,47.90,0.12,0.38,0.00,2.85,0.00,12.96,0.07,0.03,0.57,0.12,0.04,0.72,12.96,1.53,78.70
ASC042,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),veg,asc_manual,1046.81,249.56,24.05,12.40,11.98,6.40,2.12,4540.44,2891.99,3093.70,0.00,274.10,190.78,27.81,268.90,127.84,1.26,0.13,12.97,0.05,0.43,0.02,1.63,0.00,2.29,1.72,0.00,6.91,0.00,58.65,0.12,0.08,0.79,0.31,0.08,9.97,58.65,5.46,282.96,toasted triangle,930.35,221.79,21.38,11.02,10.64,5.68,1.88,4035.31,2570.26,2749.53,0.00,243.61,169.56,24.72,238.98,113.62,1.12,0.11,11.53,0.04,0.38,0.02,1.45,0.00,2.04,1.53,0.00,6.14,0.00,52.13,0.10,0.07,0.70,0.28,0.07,8.86,52.13,4.85,251.48
ASC051,Cornflakes with milk,veg,asc_manual,493.71,117.33,14.95,3.59,5.12,9.97,0.78,2784.82,1530.43,370.58,0.00,106.47,108.43,14.98,26.55,132.88,0.42,0.06,1.47,0.00,0.24,0.00,0.46,0.00,0.34,0.00,0.00,0.00,0.00,15.78,0.14,0.21,0.50,0.33,0.05,2.67,15.78,1.74,172.66,bowl,1372.50,326.17,41.56,9.98,14.23,27.73,2.16,7741.80,4254.60,1030.20,0.00,296.00,301.42,41.63,73.80,369.40,1.18,0.17,4.08,0.01,0.66,0.00,1.28,0.00,0.94,0.00,0.00,0.00,0.00,43.87,0.38,0.58,1.39,0.91,0.15,7.42,43.87,4.82,480.00
ASC052,Rice flakes (Chiwda/Aval),veg,asc_manual,471.37,112.44,15.57,3.62,3.99,7.28,0.37,2367.63,1093.92,181.40,0.00,103.15,104.43,15.61,22.40,115.40,0.62,0.06,0.82,0.01,0.10,0.02,0.45,0.00,0.20,0.00,0.00,0.11,0.00,6.98,0.04,0.10,0.24,0.35,0.04,1.75,6.98,1.74,176.29,bowl,1310.40,312.58,43.28,10.06,11.09,20.24,1.04,6582.00,3041.10,504.30,0.00,286.76,290.32,43.41,62.28,320.80,1.71,0.16,2.28,0.02,0.29,0.05,1.25,0.00,0.54,0.00,0.00,0.30,0.00,19.41,0.11,0.28,0.67,0.96,0.10,4.87,19.41,4.82,490.08
ASC054,Murmura (Puffed rice),veg,asc_manual,475.04,113.32,15.67,3.62,4.04,7.31,0.28,2342.03,1052.35,123.97,0.00,103.79,99.79,14.18,22.52,114.53,0.63,0.06,0.82,0.01,0.11,0.01,0.44,0.00,0.19,0.00,0.00,0.11,0.00,6.07,0.04,0.10,0.27,0.33,0.04,1.85,6.07,1.74,178.11,bowl,1320.60,315.02,43.56,10.06,11.24,20.33,0.77,6510.85,2925.53,344.64,0.00,288.53,277.42,39.41,62.61,318.40,1.74,0.16,2.28,0.02,0.30,0.03,1.24,0.00,0.54,0.00,0.00,0.30,0.00,16.87,0.10,0.28,0.75,0.93,0.12,5.13,16.87,4.82,495.14
ASC056,Boiled egg (Ubla anda),egg,asc_manual,189.77,45.35,0.12,4.43,3.04,0.00,0.11,981.64,1154.18,385.02,121.19,17.75,61.74,4.88,170.94,50.91,0.64,0.03,13.43,0.00,0.03,0.01,0.41,65.56,0.50,0.09,0.28,0.57,4.84,16.40,0.02,0.06,0.04,0.49,0.05,6.05,16.40,0.00,52.05,egg,286.55,68.49,0.18,6.69,4.59,0.00,0.17,1482.27,1742.81,581.38,183.00,26.80,93.22,7.37,258.12,76.88,0.97,0.04,20.28,0.00,0.05,0.02,0.62,99.00,0.76,0.13,0.42,0.86,7.30,24.77,0.03,0.10,0.06,0.74,0.08,9.14,24.77,0.00,78.60
ASC057,Fried Egg ,egg,asc_manual,928.19,223.67,0.31,11.59,19.62,0.00,0.29,3969.30,5413.97,8405.42,316.88,46.40,161.43,12.75,446.96,133.13,1.69,0.08,35.12,0.00,0.08,0.04,1.08,171.43,7.07,0.22,0.73,2.22,12.65,42.89,0.05,0.17,0.10,1.28,0.14,15.82,42.89,0.00,136.10,egg,536.03,129.17,0.18,6.69,11.33,0.00,0.17,2292.27,3126.56,4854.13,183.00,26.80,93.22,7.37,258.12,76.88,0.98,0.04,20.28,0.00,0.05,0.02,0.62,99.00,4.08,0.13,0.42,1.28,7.30,24.77,0.03,0.10,0.06,0.74,0.08,9.14,24.77,0.00,78.60
ASC058,Poached egg,egg,asc_manual,518.05,123.87,0.37,11.98,8.19,0.05,0.30,2646.91,3112.17,1038.18,326.79,48.24,167.21,14.79,1163.07,141.30,1.75,0.08,36.29,0.00,0.09,0.04,1.12,176.79,1.36,0.23,0.75,1.53,13.04,44.23,0.05,0.17,0.11,1.32,0.15,16.32,44.23,0.00,140.35,egg,290.11,69.37,0.21,6.71,4.59,0.03,0.17,1482.27,1742.81,581.38,183.00,27.01,93.64,8.28,651.32,79.13,0.98,0.05,20.32,0.00,0.05,0.02,0.63,99.00,0.76,0.13,0.42,0.86,7.30,24.77,0.03,0.10,0.06,0.74,0.08,9.14,24.77,0.00,78.60
ASC059,Scrambled egg (Ande ki bhurji),egg,asc_manual,649.51,155.97,1.35,10.29,12.21,1.08,0.24,5674.17,3944.74,1021.83,273.60,64.59,155.18,12.41,374.66,136.01,1.42,0.07,29.18,0.00,0.07,0.03,0.96,196.17,1.24,0.18,0.60,1.64,10.44,36.89,0.05,0.16,0.10,1.13,0.12,13.49,36.89,0.43,189.88,egg,454.66,109.18,0.95,7.20,8.55,0.76,0.17,3971.92,2761.31,715.28,191.52,45.22,108.63,8.69,262.26,95.21,0.99,0.05,20.42,0.00,0.05,0.02,0.68,137.32,0.87,0.13,0.42,1.15,7.30,25.82,0.03,0.11,0.07,0.79,0.09,9.44,25.82,0.30,132.91
