food_code,food_name,meal_type,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC208,Baked vegetables,veg,asc_manual,371.43,88.99,8.44,3.67,4.44,2.56,2.34,2685.07,1146.21,231.80,8.27,80.20,90.12,19.93,124.70,221.88,0.62,0.07,0.91,0.00,0.16,0.01,0.52,32.53,0.22,3.50,0.00,13.66,0.00,25.52,0.08,0.07,0.48,0.40,0.12,2.58,25.52,15.55,1693.73,bowl,1123.58,269.19,25.52,11.10,13.42,7.75,7.07,8122.33,3467.28,701.20,25.00,242.60,272.61,60.28,377.22,671.17,1.88,0.23,2.76,0.01,0.50,0.03,1.58,98.42,0.67,10.59,0.00,41.32,0.00,77.19,0.23,0.21,1.45,1.20,0.36,7.80,77.19,47.05,5123.54
ASC210,Baked vegetables with spinach ,veg,asc_manual,324.45,77.79,6.93,3.22,4.03,2.09,2.33,2163.45,986.69,546.36,6.55,78.63,74.08,35.62,122.85,314.32,1.16,0.10,1.16,0.01,0.39,0.01,0.50,26.67,0.70,2.61,0.00,86.85,0.00,52.72,0.09,0.08,0.43,0.35,0.12,2.93,52.72,18.64,3474.59,bowl,1374.13,329.47,29.35,13.63,17.06,8.84,9.85,9162.70,4178.87,2313.94,27.75,333.00,313.76,150.85,520.29,1331.22,4.91,0.42,4.93,0.04,1.67,0.05,2.10,112.97,2.98,11.07,0.00,367.81,0.00,223.29,0.40,0.32,1.83,1.47,0.53,12.42,223.29,78.95,14715.69
ASC211,Baked potato with skin ,veg,asc_manual,563.80,135.77,11.11,3.43,8.50,1.66,1.20,5243.81,2214.89,380.72,21.72,90.06,121.89,21.18,354.50,392.71,0.50,0.07,1.18,0.00,0.12,0.02,0.51,86.95,0.26,0.20,0.00,2.52,0.00,12.75,0.05,0.06,0.69,0.37,0.08,1.80,12.75,15.15,225.93,bowl,441.88,106.41,8.71,2.69,6.66,1.30,0.94,4109.84,1735.92,298.39,17.02,70.58,95.53,16.60,277.84,307.79,0.39,0.06,0.92,0.00,0.10,0.01,0.40,68.15,0.20,0.16,0.00,1.98,0.00,9.99,0.04,0.04,0.54,0.29,0.06,1.41,9.99,11.88,177.07
ASC215,Spinach paneer (Palak paneer),veg,asc_manual,323.55,77.68,4.43,4.03,4.76,2.55,1.91,1587.57,1101.39,1711.86,0.00,113.25,69.62,54.13,166.87,386.63,1.85,0.13,4.23,0.03,0.71,0.01,0.68,0.00,1.83,2.31,0.00,170.45,0.00,90.37,0.10,0.07,0.34,0.25,0.11,5.39,90.37,20.38,5906.13,bowl,956.09,229.55,13.09,11.92,14.07,7.54,5.63,4691.28,3254.60,5058.54,0.00,334.65,205.73,159.94,493.09,1142.49,5.47,0.37,12.50,0.09,2.09,0.03,2.02,0.00,5.41,6.83,0.00,503.69,0.00,267.05,0.29,0.21,1.00,0.73,0.34,15.91,267.05,60.21,17452.62
ASC216,Methi chaman,veg,asc_manual,1957.78,475.62,2.78,1.54,50.91,1.79,0.53,6884.08,10537.24,31291.37,0.00,60.57,41.04,12.51,54.94,115.42,0.63,0.04,0.54,0.01,0.14,0.01,0.19,0.00,24.42,0.17,0.00,41.01,0.00,14.16,0.03,0.06,0.14,0.18,0.05,1.21,14.16,6.32,1205.41,bowl,19607.21,4763.38,27.83,15.44,509.84,17.95,5.27,68944.06,105530.43,313383.03,0.00,606.60,411.01,125.24,550.23,1155.97,6.29,0.40,5.45,0.05,1.37,0.09,1.89,0.00,244.56,1.71,0.00,410.70,0.00,141.85,0.28,0.56,1.42,1.75,0.48,12.15,141.85,63.26,12072.21
ASC217,Sarson ka saag,veg,asc_manual,364.17,87.84,5.33,3.00,5.86,0.75,3.69,3303.10,1432.99,570.51,13.24,134.41,61.91,55.11,165.45,399.56,2.43,0.20,5.07,0.03,0.67,0.02,0.65,50.77,0.86,4.37,0.00,176.60,0.00,90.78,0.09,0.16,0.57,0.26,0.16,2.01,90.78,42.12,5512.58,bowl,515.16,124.26,7.53,4.25,8.29,1.07,5.22,4672.57,2027.11,807.04,18.74,190.14,87.57,77.96,234.05,565.22,3.44,0.28,7.17,0.04,0.94,0.03,0.91,71.82,1.22,6.18,0.00,249.82,0.00,128.42,0.13,0.22,0.81,0.37,0.23,2.85,128.42,59.58,7798.09
ASC218,Jackfruit sabzi (Kathal ki sabzi),veg,asc_manual,2572.48,625.40,3.40,0.69,67.60,2.59,1.02,8126.67,13872.31,42800.21,0.00,9.85,8.83,8.88,58.95,80.75,0.27,0.05,0.03,0.00,0.12,0.01,0.08,0.00,33.29,2.18,0.00,13.52,0.00,8.90,0.02,0.01,0.15,0.07,0.06,0.95,8.90,3.91,479.51,bowl,9290.91,2258.72,12.28,2.49,244.13,9.35,3.70,29350.69,50101.95,154579.39,0.00,35.57,31.90,32.06,212.90,291.64,0.98,0.20,0.12,0.01,0.44,0.04,0.28,0.00,120.23,7.86,0.00,48.81,0.00,32.14,0.06,0.02,0.54,0.24,0.20,3.42,32.14,14.11,1731.81
ASC219,Avial,veg,asc_manual,520.92,124.56,8.47,2.46,8.94,3.83,5.44,6227.57,550.74,219.96,0.00,31.90,60.03,36.40,81.50,378.30,1.01,0.21,3.90,0.01,0.40,0.05,0.40,0.00,1.04,2.23,0.00,89.50,0.00,32.27,0.05,0.04,0.55,0.29,0.17,2.70,32.27,28.25,1270.84,bowl,1745.36,417.34,28.39,8.25,29.94,12.82,18.24,20865.47,1845.26,736.97,0.00,106.88,201.13,121.96,273.05,1267.49,3.39,0.70,13.05,0.02,1.35,0.15,1.33,0.00,3.49,7.49,0.00,299.87,0.00,108.12,0.16,0.14,1.84,0.98,0.58,9.05,108.12,94.64,4257.95
ASC221,Shahi paneer,veg,asc_manual,649.74,156.50,6.64,5.06,12.34,5.01,1.40,7253.38,3336.88,668.64,23.70,125.38,97.37,18.29,215.35,170.60,0.62,0.07,4.74,0.02,0.24,0.02,0.76,92.19,0.66,4.90,0.00,13.53,0.00,30.30,0.04,0.07,0.45,0.28,0.09,5.26,30.30,11.89,2763.73,bowl,1685.04,405.86,17.22,13.13,32.01,13.00,3.64,18810.91,8653.86,1734.04,61.47,325.15,252.53,47.43,558.48,442.44,1.61,0.18,12.28,0.06,0.62,0.05,1.96,239.07,1.70,12.71,0.00,35.08,0.00,78.58,0.10,0.18,1.16,0.73,0.23,13.65,78.58,30.83,7167.45
ASC224,Chilli paneer,veg,asc_manual,3199.66,777.51,3.31,2.10,84.01,1.50,0.50,10750.48,17529.38,52208.83,0.34,42.90,38.62,8.81,89.04,54.25,0.36,0.05,2.31,0.01,0.06,0.01,0.32,0.88,40.54,0.42,0.00,8.62,0.00,9.67,0.02,0.02,0.18,0.08,0.02,1.87,9.67,1.64,1217.75,bowl,9499.15,2308.28,9.82,6.24,249.41,4.46,1.49,31916.02,52041.23,154997.59,1.00,127.37,114.65,26.17,264.34,161.05,1.06,0.15,6.86,0.03,0.17,0.04,0.95,2.60,120.36,1.23,0.00,25.59,0.00,28.70,0.06,0.07,0.52,0.23,0.06,5.55,28.70,4.87,3615.27
ASC226,Kadhai Paneer,veg,asc_manual,449.91,107.99,7.34,4.33,6.81,5.54,2.07,1950.52,1574.98,2863.85,0.00,91.53,80.68,22.40,144.33,290.81,0.65,0.12,3.87,0.02,0.23,0.01,0.66,0.00,2.84,4.08,0.00,12.01,0.00,36.81,0.16,0.05,0.80,0.25,0.12,5.52,36.81,26.98,2379.68,bowl,1431.31,343.56,23.35,13.78,21.66,17.62,6.58,6205.17,5010.48,9110.78,0.00,291.18,256.67,71.26,459.16,925.14,2.05,0.38,12.32,0.07,0.74,0.04,2.10,0.00,9.04,12.98,0.00,38.22,0.00,117.12,0.50,0.15,2.54,0.80,0.37,17.57,117.12,85.83,7570.49
ASC229,Pea keema curry (Matar keema ki sabzi),veg,asc_manual,553.15,133.00,6.24,8.43,8.14,1.82,2.96,2401.20,2411.70,2748.27,22.87,35.60,89.75,27.29,148.38,252.63,1.35,0.12,1.24,0.00,0.54,0.03,1.48,2.68,2.10,5.88,0.00,19.99,0.00,24.76,0.13,0.08,1.95,0.57,0.16,2.48,24.76,16.18,1356.01,bowl,1901.89,457.30,21.46,29.00,27.98,6.25,10.18,8256.05,8292.15,9449.37,78.65,122.42,308.59,93.82,510.16,868.61,4.64,0.42,4.27,0.01,1.85,0.10,5.10,9.20,7.23,20.20,0.00,68.75,0.00,85.14,0.45,0.28,6.70,1.96,0.54,8.52,85.14,55.62,4662.37
ASC230,Keema kofta curry,veg,asc_manual,643.38,154.45,5.64,9.77,10.39,2.14,1.51,3273.04,3229.65,2994.87,57.79,49.89,118.72,22.07,311.51,251.56,1.25,0.08,4.44,0.00,0.41,0.04,1.65,19.41,2.27,2.28,0.06,8.13,1.10,15.98,0.08,0.12,2.11,0.60,0.15,3.04,15.98,5.87,1054.57,kofta,265.86,63.82,2.33,4.04,4.29,0.88,0.62,1352.50,1334.57,1237.56,23.88,20.61,49.06,9.12,128.72,103.95,0.52,0.03,1.84,0.00,0.17,0.02,0.68,8.02,0.94,0.94,0.03,3.36,0.46,6.60,0.03,0.05,0.87,0.25,0.06,1.25,6.60,2.43,435.77
ASC232,Mutton desi,non-veg,asc_manual,434.62,104.13,0.84,8.27,7.70,0.13,0.67,239.48,472.15,1137.71,0.00,88.61,72.01,8.54,101.02,154.30,1.66,0.02,0.12,0.00,0.71,0.02,0.10,0.00,0.86,0.44,0.00,1.41,0.00,2.81,0.09,0.07,3.07,0.01,0.01,0.04,2.81,0.04,19.19,bowl,1008.97,241.73,1.96,19.20,17.88,0.29,1.56,555.96,1096.09,2641.19,0.00,205.71,167.18,19.82,234.51,358.21,3.85,0.05,0.28,0.00,1.66,0.06,0.24,0.00,2.00,1.01,0.00,3.28,0.00,6.51,0.20,0.15,7.12,0.03,0.02,0.09,6.51,0.09,44.55
ASC233,Chicken steamed,non-veg,asc_manual,413.28,99.00,0.78,10.66,6.10,0.12,0.62,608.83,906.32,1222.13,29.29,28.24,91.52,17.47,97.38,175.38,0.93,0.15,8.94,0.00,0.67,0.02,0.47,3.31,0.93,0.40,0.66,1.30,13.23,5.25,0.06,0.03,3.96,0.56,0.26,1.99,5.25,0.04,14.10,bowl,1042.08,249.63,1.96,26.88,15.38,0.29,1.56,1535.16,2285.29,3081.59,73.86,71.20,230.78,44.06,245.55,442.21,2.35,0.38,22.55,0.00,1.68,0.06,1.17,8.35,2.35,1.01,1.66,3.28,33.36,13.24,0.14,0.09,9.99,1.41,0.65,5.02,13.24,0.09,35.55
ASC234,Mutton do piaza,non-veg,asc_manual,762.28,183.30,4.14,9.39,14.41,2.90,1.93,5648.94,2965.96,673.42,77.86,118.61,120.41,18.38,118.62,240.92,1.63,0.07,6.76,0.00,0.52,0.02,0.50,110.97,0.75,0.48,0.13,4.79,2.22,20.46,0.09,0.13,2.28,0.41,0.08,3.93,20.46,2.25,357.27,bowl,2507.89,603.07,13.61,30.88,47.41,9.56,6.34,18585.00,9758.01,2215.55,256.16,390.24,396.15,60.48,390.25,792.62,5.38,0.22,22.23,0.01,1.71,0.06,1.66,365.09,2.46,1.57,0.42,15.78,7.30,67.30,0.30,0.44,7.50,1.34,0.27,12.93,67.30,7.42,1175.40
ASC238,Scotch egg,egg,asc_manual,2786.45,676.89,1.91,4.05,72.62,0.30,0.36,9440.14,15346.36,44593.11,48.59,15.03,48.31,6.80,90.67,72.34,0.60,0.04,4.86,0.00,0.13,0.01,0.57,22.43,34.71,0.13,0.09,6.03,1.60,8.94,0.03,0.05,0.62,0.29,0.05,2.39,8.94,0.76,82.20,piece,9542.35,2318.05,6.53,13.87,248.70,1.01,1.23,32328.24,52554.38,152711.33,166.40,51.47,165.44,23.30,310.52,247.73,2.05,0.13,16.64,0.00,0.44,0.02,1.96,76.82,118.86,0.46,0.31,20.66,5.48,30.63,0.11,0.16,2.11,0.99,0.18,8.18,30.63,2.59,281.51
ASC240,Chicken curry,non-veg,asc_manual,538.96,129.22,3.38,11.79,7.57,1.79,1.41,821.08,1119.97,2005.92,31.25,27.29,107.81,21.89,108.00,253.49,0.87,0.19,9.56,0.00,0.42,0.05,0.56,4.07,1.56,2.90,0.70,8.57,14.02,15.61,0.07,0.05,4.28,0.71,0.32,2.95,15.61,6.77,1284.19,bowl,1336.22,320.38,8.38,29.24,18.77,4.44,3.49,2035.67,2776.69,4973.17,77.49,67.66,267.29,54.28,267.77,628.45,2.15,0.46,23.70,0.01,1.05,0.12,1.39,10.10,3.87,7.19,1.73,21.25,34.75,38.70,0.18,0.12,10.62,1.75,0.79,7.30,38.70,16.79,3183.83
ASC241,Tandoori chicken,non-veg,asc_manual,607.17,145.20,2.34,16.26,7.93,1.58,0.50,990.24,1050.46,1025.32,44.25,44.33,154.07,22.02,158.00,287.21,0.90,0.21,13.24,0.00,0.17,0.02,0.71,8.72,0.77,0.20,0.96,1.57,19.29,12.68,0.09,0.09,5.70,0.91,0.41,3.42,12.68,2.74,69.37,chicken,8748.15,2092.02,33.66,234.33,114.30,22.82,7.27,14267.44,15135.07,14772.80,637.50,638.65,2219.85,317.23,2276.49,4138.11,12.96,2.99,190.76,0.01,2.44,0.29,10.23,125.60,11.11,2.86,13.80,22.57,278.00,182.73,1.25,1.25,82.19,13.11,5.86,49.26,182.73,39.53,999.49
ASC242,Butter chicken,non-veg,asc_manual,571.18,137.00,3.74,10.92,8.70,2.37,1.32,3047.65,1620.51,424.98,39.26,25.28,102.52,23.27,26.21,319.53,0.92,0.20,8.61,0.00,0.27,0.01,0.51,48.98,0.82,3.58,0.63,9.53,12.63,14.84,0.14,0.05,4.13,0.62,0.30,2.99,14.84,11.86,1884.16,large piece,1571.91,377.04,10.31,30.06,23.94,6.52,3.64,8387.29,4459.73,1169.58,108.03,69.57,282.13,64.04,72.14,879.35,2.54,0.54,23.69,0.01,0.73,0.03,1.41,134.79,2.27,9.86,1.73,26.23,34.75,40.85,0.38,0.15,11.37,1.72,0.83,8.23,40.85,32.65,5185.30
ASC244,Chilli chicken,non-veg,asc_manual,823.97,198.83,2.86,9.57,16.56,0.93,0.99,1902.34,3048.34,8403.86,23.87,12.97,84.35,16.48,223.75,207.30,0.66,0.14,8.20,0.00,0.17,0.01,0.39,2.70,6.50,1.53,0.58,6.13,10.78,13.33,0.05,0.04,3.34,0.61,0.25,2.98,13.33,14.27,312.17,bowl,3187.27,769.13,11.06,37.03,64.07,3.60,3.84,7358.64,11791.59,32507.82,92.32,50.19,326.29,63.73,865.49,801.88,2.54,0.53,31.73,0.01,0.66,0.05,1.51,10.44,25.16,5.93,2.25,23.72,41.70,51.55,0.21,0.17,12.92,2.37,0.98,11.51,51.55,55.19,1207.54
ASC245,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),non-veg,asc_manual,521.48,125.03,2.51,11.48,7.61,1.16,1.13,881.22,1099.94,1993.20,31.09,16.09,101.91,17.77,107.56,242.34,0.64,0.17,9.42,0.00,0.09,0.01,0.49,3.52,1.59,3.79,0.70,11.02,14.04,14.07,0.07,0.04,4.27,0.68,0.31,2.69,14.07,8.71,2774.02,piece,645.34,154.73,3.10,14.20,9.42,1.43,1.40,1090.51,1361.18,2466.58,38.47,19.91,126.11,21.99,133.11,299.89,0.79,0.21,11.66,0.00,0.11,0.01,0.60,4.35,1.97,4.70,0.86,13.64,17.38,17.41,0.09,0.05,5.29,0.85,0.38,3.33,17.41,10.78,3432.85
ASC246,Fish curry (Machli curry),non-veg,asc_manual,461.62,111.13,3.77,8.76,6.69,2.02,1.89,1587.29,2191.97,3792.81,19.22,52.06,101.87,24.11,184.71,241.98,1.09,0.08,20.64,0.01,0.70,0.08,0.53,2.63,3.64,3.00,0.33,8.35,0.41,15.93,0.03,0.04,1.16,0.61,0.15,0.90,15.93,8.85,1231.96,bowl,1172.38,282.23,9.58,22.25,16.99,5.12,4.79,4031.25,5566.95,9632.61,48.82,132.22,258.72,61.23,469.12,614.56,2.77,0.19,52.42,0.01,1.78,0.20,1.34,6.67,9.24,7.62,0.84,21.21,1.03,40.45,0.07,0.10,2.96,1.54,0.39,2.28,40.45,22.48,3128.81
ASC247,Fried fish (Indian style) (Tali hui machli),non-veg,asc_manual,2711.38,658.54,5.40,4.35,68.88,0.40,0.61,8336.42,14107.74,43531.64,6.57,11.11,46.90,10.23,156.94,75.49,0.56,0.05,9.26,0.00,0.10,0.00,0.20,2.31,33.90,0.26,0.03,4.94,0.74,9.96,0.03,0.03,0.51,0.28,0.04,1.22,9.96,2.04,41.26,piece,9584.72,2327.95,19.11,15.36,243.49,1.40,2.15,29469.26,49870.86,153884.33,23.24,39.29,165.79,36.15,554.77,266.85,1.98,0.16,32.75,0.01,0.36,0.01,0.72,8.17,119.85,0.92,0.11,17.48,2.63,35.19,0.12,0.09,1.80,0.98,0.15,4.30,35.19,7.22,145.86
ASC253,"Paneer, apple and pineapple salad",veg,asc_manual,397.42,95.08,8.35,3.88,5.07,6.36,1.65,2554.73,1275.31,895.37,6.52,103.05,86.94,22.73,176.63,185.05,0.84,0.09,4.11,0.02,0.32,0.34,0.61,31.24,0.22,1.68,0.00,21.05,0.00,26.04,0.04,0.09,0.20,0.26,0.09,4.20,26.04,9.81,2073.10,bowl,1024.35,245.07,21.52,10.01,13.06,16.40,4.25,6584.81,3287.12,2307.81,16.80,265.61,224.10,58.59,455.27,476.98,2.17,0.22,10.60,0.05,0.83,0.87,1.58,80.53,0.56,4.32,0.00,54.25,0.00,67.13,0.11,0.22,0.52,0.67,0.23,10.83,67.13,25.30,5343.43
ASC258,Mixed pulse and vegetable salad,veg,asc_manual,349.23,83.12,13.96,4.74,0.84,1.36,2.96,137.12,120.56,442.36,0.00,51.63,93.24,49.99,127.78,442.65,2.13,0.23,4.05,0.01,0.52,0.06,0.78,0.00,0.31,2.77,0.00,32.48,0.00,62.14,0.10,0.07,0.72,0.51,0.13,1.61,62.14,14.02,2388.85,bowl,593.41,141.23,23.72,8.05,1.42,2.31,5.03,232.99,204.85,751.66,0.00,87.73,158.44,84.95,217.12,752.15,3.61,0.40,6.88,0.02,0.88,0.10,1.33,0.00,0.52,4.70,0.00,55.20,0.00,105.59,0.17,0.12,1.23,0.87,0.23,2.74,105.59,23.82,4059.13
ASC259,Sprouted moong salad ,veg,asc_manual,158.65,37.81,5.48,2.29,0.74,2.13,0.95,354.69,160.55,165.36,1.62,54.56,55.09,22.92,116.38,254.18,1.45,0.06,1.73,0.01,0.18,0.02,0.39,4.12,0.05,1.82,0.00,25.53,0.00,24.42,0.06,0.08,0.42,0.24,0.09,1.25,24.42,13.67,2753.77,bowl,323.26,77.03,11.17,4.66,1.51,4.35,1.93,722.68,327.12,336.93,3.30,111.16,112.24,46.69,237.12,517.88,2.96,0.13,3.52,0.01,0.36,0.04,0.80,8.40,0.11,3.72,0.00,52.02,0.00,49.76,0.12,0.16,0.85,0.49,0.18,2.55,49.76,27.84,5610.81
ASC261,Mixed vegetable salad with curd sauce,veg,asc_manual,252.12,60.28,7.03,4.23,1.50,2.16,3.79,880.42,364.96,160.55,4.09,65.51,67.79,32.94,116.66,267.24,1.35,0.13,1.91,0.01,0.31,0.03,0.67,17.41,0.15,5.01,0.00,36.95,0.00,40.08,0.13,0.09,0.66,0.42,0.18,3.32,40.08,17.52,3408.86,bowl,543.12,129.86,15.15,9.11,3.23,4.65,8.16,1896.60,786.20,345.85,8.80,141.13,146.04,70.95,251.30,575.69,2.90,0.27,4.11,0.01,0.67,0.06,1.45,37.50,0.33,10.80,0.00,79.60,0.00,86.34,0.27,0.18,1.42,0.91,0.38,7.15,86.34,37.73,7343.38
ASC265,Fruit salad (Phalon ka salaad),veg,asc_manual,328.70,78.14,15.96,0.91,1.22,9.78,1.58,684.54,271.85,165.14,2.71,25.93,23.11,17.56,7.11,178.27,0.81,0.07,1.19,0.01,0.27,0.28,0.18,14.36,0.12,1.11,0.00,19.71,0.00,14.93,0.04,0.04,0.19,0.14,0.11,1.41,14.93,17.25,1660.97,bowl,999.26,237.53,48.52,2.78,3.70,29.74,4.79,2081.01,826.41,502.02,8.25,78.83,70.27,53.38,21.60,541.95,2.45,0.22,3.61,0.03,0.83,0.85,0.54,43.65,0.37,3.39,0.00,59.93,0.00,45.40,0.11,0.13,0.58,0.43,0.34,4.27,45.40,52.45,5049.36
ASC269,Tomato onion raita (Tamatar aur pyaaz ka raita),veg,asc_manual,248.26,59.00,7.08,3.74,1.84,5.98,0.97,1103.28,475.87,125.38,6.19,120.62,106.97,18.22,165.21,237.73,0.26,0.04,1.20,0.00,0.08,0.01,0.50,15.76,0.09,2.85,0.00,6.85,0.00,19.57,0.05,0.16,0.32,0.38,0.10,2.23,19.57,8.47,1379.49,bowl,441.09,104.83,12.58,6.64,3.27,10.62,1.73,1960.20,845.49,222.75,11.00,214.30,190.06,32.38,293.52,422.38,0.45,0.06,2.13,0.00,0.14,0.03,0.89,28.00,0.16,5.07,0.00,12.17,0.00,34.77,0.09,0.29,0.57,0.68,0.18,3.96,34.77,15.04,2450.94
ASC277,Boondi raita,veg,asc_manual,2831.04,687.72,3.96,2.19,73.83,1.88,0.46,9220.10,15189.89,46338.53,2.51,49.00,47.88,7.40,99.18,79.71,0.24,0.02,0.61,0.00,0.07,0.00,0.23,6.39,36.03,0.01,0.00,5.21,0.00,11.50,0.03,0.07,0.14,0.16,0.04,0.91,11.50,0.24,33.47,bowl,9310.58,2261.74,13.03,7.21,242.80,6.18,1.51,30322.60,49955.75,152395.83,8.25,161.16,157.46,24.33,326.19,262.15,0.78,0.07,2.01,0.00,0.22,0.01,0.75,21.00,118.49,0.03,0.00,17.13,0.00,37.83,0.10,0.23,0.45,0.54,0.14,3.00,37.83,0.77,110.08
ASC282,Rice kheer (Chawal ki kheer),veg,asc_manual,315.33,75.03,10.05,2.30,2.97,8.02,0.17,1704.00,866.18,129.29,0.00,75.57,65.41,7.33,16.24,83.08,0.17,0.04,0.65,0.00,0.08,0.03,0.25,0.00,0.21,0.07,0.00,0.08,0.00,4.87,0.02,0.07,0.13,0.23,0.03,1.26,4.87,1.26,127.08,bowl,1264.81,300.94,40.31,9.21,11.92,32.16,0.69,6834.93,3474.35,518.59,0.00,303.13,262.35,29.42,65.13,333.24,0.68,0.15,2.62,0.01,0.33,0.12,1.01,0.00,0.85,0.26,0.00,0.30,0.00,19.54,0.10,0.28,0.51,0.92,0.13,5.04,19.54,5.06,509.75
ASC283,Makhana kheer,veg,asc_manual,452.85,107.85,12.88,3.31,5.00,11.54,0.11,2878.30,1437.95,232.53,1.77,111.64,100.56,13.39,23.40,139.35,0.28,0.05,0.90,0.00,0.13,0.02,0.34,6.63,0.34,0.09,0.00,0.05,0.00,8.55,0.04,0.10,0.12,0.33,0.05,1.80,8.55,1.82,195.00,bowl,1259.43,299.94,35.82,9.21,13.92,32.09,0.32,8004.83,3999.08,646.69,4.92,310.49,279.65,37.25,65.08,387.54,0.78,0.14,2.50,0.01,0.37,0.06,0.96,18.44,0.96,0.26,0.00,0.15,0.00,23.77,0.11,0.29,0.33,0.91,0.14,5.01,23.77,5.06,542.32
ASC285,Vermicelli kheer (Semiya/Seviyan ki kheer),veg,asc_manual,504.28,120.07,15.87,3.35,5.00,12.79,0.50,2855.31,1450.34,229.31,2.12,104.80,90.34,10.67,22.52,116.57,0.30,0.05,1.46,0.00,0.06,0.03,0.35,7.93,0.36,0.16,0.00,0.09,0.00,7.01,0.03,0.10,0.12,0.32,0.04,1.78,7.01,1.74,190.27,bowl,1172.10,279.08,36.90,7.80,11.61,29.73,1.15,6636.59,3371.03,532.99,4.92,243.58,209.98,24.80,52.34,270.94,0.69,0.12,3.39,0.01,0.13,0.07,0.81,18.44,0.84,0.36,0.00,0.21,0.00,16.29,0.07,0.22,0.27,0.74,0.09,4.13,16.29,4.06,442.25
ASC286,Semolina kheer (Suji/Rava kheer),veg,asc_manual,476.14,113.21,15.88,3.43,4.20,12.88,0.51,2374.73,1241.54,198.45,0.00,105.99,91.64,10.71,22.66,122.23,0.34,0.06,1.33,0.00,0.11,0.03,0.40,0.00,0.32,0.37,0.00,0.10,0.00,7.61,0.04,0.10,0.14,0.33,0.04,1.75,7.61,1.76,186.81,bowl,1097.18,260.87,36.60,7.90,9.69,29.68,1.17,5472.09,2860.88,457.29,0.00,244.24,211.18,24.68,52.21,281.64,0.77,0.15,3.06,0.01,0.25,0.07,0.93,0.00,0.75,0.86,0.00,0.23,0.00,17.54,0.09,0.23,0.32,0.77,0.09,4.04,17.54,4.06,430.46
ASC293,Semolina halwa (Suji ka halwa),veg,asc_manual,940.23,225.65,24.67,2.16,13.38,13.98,1.86,7412.72,3906.35,857.21,30.82,11.77,27.64,13.08,1.28,70.46,0.65,0.11,1.83,0.00,0.48,0.05,0.42,115.52,1.21,1.46,0.00,0.37,0.00,4.99,0.05,0.01,0.25,0.13,0.02,0.13,4.99,0.03,279.71,bowl,1500.79,360.18,39.37,3.45,21.36,22.31,2.96,11832.19,6235.31,1368.28,49.20,18.79,44.12,20.87,2.04,112.47,1.05,0.18,2.92,0.00,0.76,0.08,0.67,184.40,1.93,2.33,0.00,0.59,0.00,7.96,0.08,0.02,0.40,0.21,0.03,0.21,7.96,0.05,446.48
ASC295,Carrot halwa (Gajar ka halwa),veg,asc_manual,722.36,172.64,18.53,3.11,9.73,16.85,2.65,5410.09,2812.91,694.99,14.66,106.94,98.65,22.98,39.96,249.93,0.76,0.10,5.73,0.02,0.24,0.03,0.54,54.94,0.72,0.93,0.00,11.04,0.00,26.70,0.05,0.04,0.22,0.26,0.08,3.56,26.70,3.89,5740.77,bowl,1212.20,289.71,31.10,5.22,16.33,28.28,4.45,9078.68,4720.35,1166.26,24.60,179.46,165.55,38.57,67.05,419.41,1.28,0.17,9.61,0.03,0.39,0.05,0.91,92.20,1.20,1.56,0.00,18.52,0.00,44.80,0.08,0.07,0.38,0.44,0.13,5.97,44.80,6.53,9633.59
